Priority,Decision_ID,Decision,Status,Scientific_Rationale,Implementation_Rule,Evidence_Location,Source_URL
P0,D001,"Create exactly one independent P013 condition: as-cast Fe50Mn30Co10Cr10 at room temperature, 1e-3 s^-1.",READY,All time-resolved SXRD points are consecutive observations from one interrupted in-situ tensile condition.,P013_MC_ASCAST_RT is independent; all stages/landmarks are correlated children.,Methods p.3,https://doi.org/10.1016/j.ijplas.2024.104048
P0,D002,Condition targets = TRIP 1 / TWIP 1 / Slip 1.,READY,TRIP is directly quantified by bulk HCP growth; tensile and compression twinning are directly identified by diffraction; dislocation slip is quantified.,Keep phase-specific mechanism scope in provenance.,"pp.7,11-16",https://doi.org/10.1016/j.ijplas.2024.104048
P0,D003,Do not count four deformation stages or SXRD loading points as independent samples.,READY,They belong to the same specimen/test trajectory and are strongly correlated.,Observation_Role=REPEATED_STAGE or CORRELATED_STAGE_INTERVAL; Independent_ML_sample=False.,Methods + Fig.10,https://doi.org/10.1016/j.ijplas.2024.104048
P1,D004,Use initial bulk HCP≈0.33 from transmission SXRD rather than an EBSD-derived phase fraction.,READY,Authors explicitly warn EBSD/OM polishing can induce surface TRIP and overestimate ε-HCP.,Initial_HCP_fraction_bulk=0.33 with method BULK_SXRD_RIETVELD; EBSD fraction remains unavailable.,pp.5-7,https://doi.org/10.1016/j.ijplas.2024.104048
P1,D005,Do not derive exact initial FCC fraction from 1-HCP.,READY,MnO≈1% is also detected and exact phase-normalization basis is not explicitly established for a simple complement operation.,Initial_FCC_fraction=NA; keep phase state γ-FCC-rich.,pp.6-7,https://doi.org/10.1016/j.ijplas.2024.104048
P1,D006,Keep engineering YS=319 MPa distinct from ~250 MPa TRIP-onset SXRD landmark.,READY,"250 MPa is the nearest sampled SXRD point used to define γ-FCC yield/TRIP onset, not the macroscopic engineering YS.",Separate fields for Yield_Strength and Nearest_SXRD_TRIP_Onset_Stress.,"pp.6-7,14",https://doi.org/10.1016/j.ijplas.2024.104048
P1,D007,Preserve TWIP as ε-HCP-phase-specific in this paper.,READY,Authors identify tensile/compression twinning in ε-HCP; γ-FCC twinning is explicitly not a stage-II strain-accommodation mechanism.,"Condition TWIP=1, but Mechanism_Phase_Scope must identify ε-HCP.","pp.11,15-16",https://doi.org/10.1016/j.ijplas.2024.104048
P1,D008,Preserve thermal/pre-existing ε-HCP separately from deformation-induced ε-HCP.,READY,Initial ~33% ε-HCP is described as thermal martensite and can nucleate mechanically induced HCP.,Initial_HCP_fraction is a precursor descriptor; TRIP target is based on its increase during loading.,p.14,https://doi.org/10.1016/j.ijplas.2024.104048
P1,D009,Do not infer or import SFE/DeltaG numeric values from references.,READY,P013 does not numerically report these descriptors in the main paper.,SFE and DeltaG stay NA for P013 unless source-specific supplementary evidence is later supplied.,Main paper,https://doi.org/10.1016/j.ijplas.2024.104048
P2,D010,Do not digitize every intermediate SXRD point in the current recovery.,READY,The paper contains a dense time-resolved trajectory; uncontrolled point extraction would inflate correlated observations and add digitization error.,Keep four stage intervals and five high-value landmarks; raw full trajectory can be a separate future longitudinal dataset if justified.,Figs.4-10,https://doi.org/10.1016/j.ijplas.2024.104048
P2,D011,"Treat σ0=179 MPa as secondary-reference model input, not a direct P013 measurement.",READY,The value is explicitly adopted from Su et al. 2019 for strengthening decomposition.,Preserve source status SECONDARY_REFERENCE_INPUT.,p.13,https://doi.org/10.1016/j.ijplas.2024.104048
