Paper_ID,DOI,ML_Condition_ID,Observation_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Confidence,Recovery_Status
P010,10.1103/PhysRevMaterials.4.033601,P010_MC_AlloyI,P010_OBS_AlloyI_condition,Cr_at%,19.93,at.%,VERIFIED_WORKBOOK,Table I; Methods pp.2-4; Figs.3-4; Results p.7; Conclusions p.11,High,VERIFIED
P010,10.1103/PhysRevMaterials.4.033601,P010_MC_AlloyI,P010_OBS_AlloyI_condition,Mn_at%,23.81,at.%,VERIFIED_WORKBOOK,Table I; Methods pp.2-4; Figs.3-4; Results p.7; Conclusions p.11,High,VERIFIED
P010,10.1103/PhysRevMaterials.4.033601,P010_MC_AlloyI,P010_OBS_AlloyI_condition,Fe_at%,30.39,at.%,VERIFIED_WORKBOOK,Table I; Methods pp.2-4; Figs.3-4; Results p.7; Conclusions p.11,High,VERIFIED
P010,10.1103/PhysRevMaterials.4.033601,P010_MC_AlloyI,P010_OBS_AlloyI_condition,Co_at%,19.87,at.%,VERIFIED_WORKBOOK,Table I; Methods pp.2-4; Figs.3-4; Results p.7; Conclusions p.11,High,VERIFIED
P010,10.1103/PhysRevMaterials.4.033601,P010_MC_AlloyI,P010_OBS_AlloyI_condition,Ni_at%,5.99,at.%,VERIFIED_WORKBOOK,Table I; Methods pp.2-4; Figs.3-4; Results p.7; Conclusions p.11,High,VERIFIED
P010,10.1103/PhysRevMaterials.4.033601,P010_MC_AlloyI,P010_OBS_AlloyI_condition,Effective_TRIP,1,binary,VERIFIED_WORKBOOK,Table I; Methods pp.2-4; Figs.3-4; Results p.7; Conclusions p.11,High,VERIFIED
P010,10.1103/PhysRevMaterials.4.033601,P010_MC_AlloyI,P010_OBS_AlloyI_condition,Effective_TWIP,1,binary,VERIFIED_WORKBOOK,Table I; Methods pp.2-4; Figs.3-4; Results p.7; Conclusions p.11,High,VERIFIED
P010,10.1103/PhysRevMaterials.4.033601,P010_MC_AlloyI,P010_OBS_AlloyI_condition,Magnetic_transition_T_K,160,K,VERIFIED_WORKBOOK,Table I; Methods pp.2-4; Figs.3-4; Results p.7; Conclusions p.11,High,VERIFIED
P010,10.1103/PhysRevMaterials.4.033601,P010_MC_AlloyI,P010_OBS_AlloyI_condition,Recovered_Test_T_Reported,Room temperature,source text,VERIFIED_WORKBOOK,Table I; Methods pp.2-4; Figs.3-4; Results p.7; Conclusions p.11,High,VERIFIED
P010,10.1103/PhysRevMaterials.4.033601,P010_MC_AlloyI,P010_OBS_AlloyI_condition,Initial_Phase_State_Qualitative,Dual FCC+HCP; majority FCC,categorical,VERIFIED_WORKBOOK,Table I; Methods pp.2-4; Figs.3-4; Results p.7; Conclusions p.11,High,VERIFIED
P010,10.1103/PhysRevMaterials.4.033601,P010_MC_AlloyI,P010_OBS_AlloyI_condition,SFE_Relative_Trend,close to reference in PM and AFM,qualitative,VERIFIED_WORKBOOK,Table I; Methods pp.2-4; Figs.3-4; Results p.7; Conclusions p.11,High,VERIFIED
